=== schach9x9 absolute strength vs Stockfish (8×8) ===
games=40 ourDepth=5 sfDepth=8 sfElo=1400 engine=lite-single maxPlies=200
rules: full standard (castling + EP + auto-queen promo)
Game 1/40 — we play white...
  → SF (illegal-ours) plies=64 13733ms pv0=f2f4
Game 2/40 — we play black...
  → SF (checkmate) plies=101 19961ms pv0=e2e3
Game 3/40 — we play white...
  → SF (checkmate) plies=192 35908ms pv0=g2g3
Game 4/40 — we play black...
  → SF (checkmate) plies=97 20962ms pv0=e2e3
Game 5/40 — we play white...
  → SF (illegal-ours) plies=54 14713ms pv0=g2g4
Game 6/40 — we play black...
  → SF (checkmate) plies=181 27955ms pv0=d2d4
Game 7/40 — we play white...
  → OURS (checkmate) plies=85 18248ms pv0=h2h3
Game 8/40 — we play black...
  → SF (checkmate) plies=123 19000ms pv0=d2d4
Game 9/40 — we play white...
  → OURS (checkmate) plies=59 11452ms pv0=g2g3
Game 10/40 — we play black...
  → SF (checkmate) plies=85 20272ms pv0=e2e3
Game 11/40 — we play white...
  → SF (checkmate) plies=118 48634ms pv0=g2g4
Game 12/40 — we play black...
  → SF (checkmate) plies=65 14904ms pv0=e2e4
Game 13/40 — we play white...
  → SF (checkmate) plies=130 23498ms pv0=g1h3
Game 14/40 — we play black...
  → DRAW (max-plies) plies=200 24566ms pv0=d2d4
Game 15/40 — we play white...
  → DRAW (max-plies) plies=200 39474ms pv0=g2g4
Game 16/40 — we play black...
  → DRAW (max-plies) plies=200 27177ms pv0=g1f3
Game 17/40 — we play white...
  → OURS (checkmate) plies=87 25661ms pv0=h2h4
Game 18/40 — we play black...
  → SF (checkmate) plies=23 5602ms pv0=d2d4
Game 19/40 — we play white...
  → SF (checkmate) plies=76 20793ms pv0=b1a3
Game 20/40 — we play black...
  → SF (checkmate) plies=107 45909ms pv0=g1f3
Game 21/40 — we play white...
  → OURS (checkmate) plies=129 77147ms pv0=f2f4
Game 22/40 — we play black...
  → SF (illegal-ours) plies=71 14770ms pv0=e2e3
Game 23/40 — we play white...
  → OURS (checkmate) plies=183 24779ms pv0=d2d4
Game 24/40 — we play black...
  → SF (checkmate) plies=49 14433ms pv0=e2e4
Game 25/40 — we play white...
  → SF (checkmate) plies=106 33256ms pv0=d2d4
Game 26/40 — we play black...
  → SF (illegal-ours) plies=129 30735ms pv0=g1f3
Game 27/40 — we play white...
  → SF (checkmate) plies=74 22122ms pv0=d2d4
Game 28/40 — we play black...
  → SF (checkmate) plies=79 16138ms pv0=e2e3
Game 29/40 — we play white...
  → SF (illegal-ours) plies=110 22476ms pv0=d2d4
Game 30/40 — we play black...
  → SF (checkmate) plies=107 27858ms pv0=e2e3
Game 31/40 — we play white...
  → OURS (checkmate) plies=169 30464ms pv0=g1h3
Game 32/40 — we play black...
  → DRAW (max-plies) plies=200 31965ms pv0=g1f3
Game 33/40 — we play white...
  → OURS (checkmate) plies=99 21579ms pv0=d2d4
Game 34/40 — we play black...
  → DRAW (max-plies) plies=200 18590ms pv0=e2e4
Game 35/40 — we play white...
  → SF (checkmate) plies=34 8536ms pv0=d2d4
Game 36/40 — we play black...
  → SF (illegal-ours) plies=49 13800ms pv0=g1f3
Game 37/40 — we play white...
  → SF (checkmate) plies=156 73742ms pv0=g1h3
Game 38/40 — we play black...
  → SF (checkmate) plies=81 47148ms pv0=e2e4
Game 39/40 — we play white...
  → SF (checkmate) plies=158 44161ms pv0=e2e4
Game 40/40 — we play black...
  → DRAW (max-plies) plies=200 32194ms pv0=g1f3

=== SUMMARY ===
W-D-L (ours): 7-6-27  (n=40)
score: 0.250  Elo vs SF≈ -191  [95% ~ -353 .. -82]
params: depth=5 sfDepth=8 sfElo=1400 engine=lite-single
term breakdown: illegal-ours=6 checkmate=28 max-plies=6
RESULT oursW=7 sfW=27 D=6 score=0.2500 elo=-190.8 depth=5 sfDepth=8
