=== schach9x9 absolute strength vs Stockfish (8×8) ===
games=40 ourDepth=5 sfDepth=8 sfElo=1400 engine=lite-single maxPlies=200
rules: full standard (castling + EP + auto-queen promo)
Game 1/40 — we play white...
  → OURS (checkmate) plies=125 48036ms pv0=g1f3
Game 2/40 — we play black...
  → OURS (checkmate) plies=62 23422ms pv0=g1f3
Game 3/40 — we play white...
  → DRAW (max-plies) plies=200 85643ms pv0=g1f3
Game 4/40 — we play black...
  → OURS (checkmate) plies=104 38876ms pv0=e2e4
Game 5/40 — we play white...
  → OURS (checkmate) plies=141 24738ms pv0=g1f3
Game 6/40 — we play black...
  → SF (checkmate) plies=81 27301ms pv0=d2d4
Game 7/40 — we play white...
  → OURS (checkmate) plies=91 32357ms pv0=g1f3
Game 8/40 — we play black...
  → DRAW (max-plies) plies=200 28065ms pv0=g1f3
Game 9/40 — we play white...
  → SF (checkmate) plies=122 125288ms pv0=g1f3
Game 10/40 — we play black...
  → SF (checkmate) plies=137 13160ms pv0=e2e4
Game 11/40 — we play white...
  → OURS (checkmate) plies=69 31952ms pv0=g1f3
Game 12/40 — we play black...
  → SF (checkmate) plies=101 24193ms pv0=d2d4
Game 13/40 — we play white...
  → OURS (checkmate) plies=151 151140ms pv0=g1f3
Game 14/40 — we play black...
  → DRAW (max-plies) plies=200 14302ms pv0=g1f3
Game 15/40 — we play white...
  → OURS (checkmate) plies=91 166040ms pv0=g1f3
Game 16/40 — we play black...
  → DRAW (max-plies) plies=200 28150ms pv0=e2e4
Game 17/40 — we play white...
  → OURS (checkmate) plies=73 99532ms pv0=g1f3
Game 18/40 — we play black...
  → SF (checkmate) plies=85 20749ms pv0=d2d4
Game 19/40 — we play white...
  → OURS (checkmate) plies=91 43253347ms pv0=g1f3
Game 20/40 — we play black...
  → SF (checkmate) plies=33 14358ms pv0=d2d4
Game 21/40 — we play white...
  → SF (checkmate) plies=64 29365ms pv0=g1f3
Game 22/40 — we play black...
  → DRAW (max-plies) plies=200 37077ms pv0=e2e3
Game 23/40 — we play white...
  → OURS (checkmate) plies=121 32703ms pv0=e2e3
Game 24/40 — we play black...
  → SF (checkmate) plies=75 14639ms pv0=e2e4
Game 25/40 — we play white...
  → OURS (checkmate) plies=161 92239ms pv0=e2e3
Game 26/40 — we play black...
  → OURS (checkmate) plies=78 22324ms pv0=e2e4
Game 27/40 — we play white...
  → SF (checkmate) plies=74 71236ms pv0=e2e3
Game 28/40 — we play black...
  → SF (checkmate) plies=129 48387ms pv0=d2d4
Game 29/40 — we play white...
  → DRAW (max-plies) plies=200 56642ms pv0=e2e3
Game 30/40 — we play black...
  → DRAW (max-plies) plies=200 16356ms pv0=d2d4
Game 31/40 — we play white...
  → DRAW (max-plies) plies=200 204439ms pv0=e2e3
Game 32/40 — we play black...
  → OURS (checkmate) plies=108 29037ms pv0=d2d4
Game 33/40 — we play white...
  → OURS (checkmate) plies=89 35509ms pv0=e2e3
Game 34/40 — we play black...
  → DRAW (max-plies) plies=200 19056ms pv0=d2d4
Game 35/40 — we play white...
  → SF (checkmate) plies=106 120948ms pv0=e2e3
Game 36/40 — we play black...
  → DRAW (max-plies) plies=200 28930ms pv0=g1f3
Game 37/40 — we play white...
  → DRAW (max-plies) plies=200 61276ms pv0=e2e3
Game 38/40 — we play black...
  → OURS (checkmate) plies=82 24143ms pv0=e2e4
Game 39/40 — we play white...
  → OURS (checkmate) plies=97 22751ms pv0=e2e3
Game 40/40 — we play black...
  → DRAW (max-plies) plies=200 11762ms pv0=e2e4

=== SUMMARY ===
W-D-L (ours): 17-12-11  (n=40)
score: 0.575  Elo vs SF≈ 53  [95% ~ -55 .. 171]
params: depth=5 sfDepth=8 sfElo=1400 engine=lite-single
term breakdown: checkmate=28 max-plies=12
RESULT oursW=17 sfW=11 D=12 score=0.5750 elo=52.5 depth=5 sfDepth=8
