=== schach9x9 absolute strength vs Stockfish (8×8) ===
games=40 ourDepth=5 sfDepth=8 sfElo=1400 engine=lite-single maxPlies=200
rules: full standard (castling + EP + auto-queen promo)
Game 1/40 — we play white...
  → DRAW (max-plies) plies=200 40542ms pv0=g1f3
Game 2/40 — we play black...
  → SF (checkmate) plies=43 20198ms pv0=e2e4
Game 3/40 — we play white...
  → DRAW (max-plies) plies=200 43426ms pv0=g1f3
Game 4/40 — we play black...
  → OURS (checkmate) plies=42 17766ms pv0=g1f3
Game 5/40 — we play white...
  → OURS (checkmate) plies=81 38981ms pv0=g1f3
Game 6/40 — we play black...
  → SF (checkmate) plies=59 38699ms pv0=d2d4
Game 7/40 — we play white...
  → OURS (checkmate) plies=73 16524ms pv0=g1f3
Game 8/40 — we play black...
  → DRAW (max-plies) plies=200 24330ms pv0=d2d4
Game 9/40 — we play white...
  → OURS (checkmate) plies=149 35193ms pv0=g1f3
Game 10/40 — we play black...
  → SF (checkmate) plies=117 52282ms pv0=e2e4
Game 11/40 — we play white...
  → OURS (checkmate) plies=91 46392ms pv0=g1f3
Game 12/40 — we play black...
  → OURS (checkmate) plies=66 20664ms pv0=d2d4
Game 13/40 — we play white...
  → SF (checkmate) plies=146 419930ms pv0=g1f3
Game 14/40 — we play black...
  → SF (checkmate) plies=69 11090ms pv0=e2e3
Game 15/40 — we play white...
  → DRAW (max-plies) plies=200 46397ms pv0=e2e3
Game 16/40 — we play black...
  → DRAW (max-plies) plies=200 31869ms pv0=e2e4
Game 17/40 — we play white...
  → DRAW (max-plies) plies=200 86215ms pv0=e2e3
Game 18/40 — we play black...
  → SF (checkmate) plies=51 14926ms pv0=e2e4
Game 19/40 — we play white...
  → OURS (checkmate) plies=185 173881ms pv0=e2e3
Game 20/40 — we play black...
  → SF (checkmate) plies=89 23195ms pv0=g1f3
Game 21/40 — we play white...
  → SF (checkmate) plies=24 5227ms pv0=g1f3
Game 22/40 — we play black...
  → OURS (checkmate) plies=92 38351ms pv0=e2e4
Game 23/40 — we play white...
  → SF (checkmate) plies=100 158993ms pv0=e2e3
Game 24/40 — we play black...
  → SF (checkmate) plies=61 21088ms pv0=e2e3
Game 25/40 — we play white...
  → SF (checkmate) plies=52 9993ms pv0=e2e3
Game 26/40 — we play black...
  → OURS (checkmate) plies=48 34095ms pv0=d2d4
Game 27/40 — we play white...
  → SF (checkmate) plies=82 54485ms pv0=e2e3
Game 28/40 — we play black...
  → SF (checkmate) plies=139 55348ms pv0=e2e3
Game 29/40 — we play white...
  → SF (checkmate) plies=90 81323ms pv0=e2e3
Game 30/40 — we play black...
  → SF (checkmate) plies=95 39254ms pv0=d2d4
Game 31/40 — we play white...
  → SF (checkmate) plies=74 36527ms pv0=e2e3
Game 32/40 — we play black...
  → SF (checkmate) plies=57 29536ms pv0=g1f3
Game 33/40 — we play white...
  → DRAW (max-plies) plies=200 44824ms pv0=e2e3
Game 34/40 — we play black...
  → OURS (checkmate) plies=192 28722ms pv0=e2e4
Game 35/40 — we play white...
  → OURS (checkmate) plies=129 140406ms pv0=e2e3
Game 36/40 — we play black...
  → DRAW (max-plies) plies=200 24735ms pv0=d2d4
Game 37/40 — we play white...
  → SF (checkmate) plies=62 39013ms pv0=e2e3
Game 38/40 — we play black...
  → DRAW (max-plies) plies=200 31045ms pv0=g1f3
Game 39/40 — we play white...
  → OURS (checkmate) plies=85 43142ms pv0=e2e3
Game 40/40 — we play black...
  → OURS (checkmate) plies=150 39493ms pv0=e2e3

=== SUMMARY ===
W-D-L (ours): 13-9-18  (n=40)
score: 0.438  Elo vs SF≈ -44  [95% ~ -161 .. 64]
params: depth=5 sfDepth=8 sfElo=1400 engine=lite-single
term breakdown: max-plies=9 checkmate=31
RESULT oursW=13 sfW=18 D=9 score=0.4375 elo=-43.7 depth=5 sfDepth=8
