=== schach9x9 absolute strength vs Stockfish (8×8) ===
games=40 ourDepth=4 sfDepth=8 sfElo=1400 engine=lite-single maxPlies=200
rules: full standard (castling + EP + auto-queen promo)
Game 1/40 — we play white...
  → SF (checkmate) plies=60 5537ms pv0=d2d4
Game 2/40 — we play black...
  → SF (checkmate) plies=77 6277ms pv0=d2d4
Game 3/40 — we play white...
  → DRAW (max-plies) plies=200 12968ms pv0=e2e4
Game 4/40 — we play black...
  → SF (checkmate) plies=63 3219ms pv0=g1f3
Game 5/40 — we play white...
  → SF (checkmate) plies=108 7734ms pv0=f2f4
Game 6/40 — we play black...
  → SF (checkmate) plies=69 5810ms pv0=d2d4
Game 7/40 — we play white...
  → SF (checkmate) plies=44 5986ms pv0=e2e3
Game 8/40 — we play black...
  → SF (checkmate) plies=33 2466ms pv0=e2e3
Game 9/40 — we play white...
  → SF (checkmate) plies=30 2590ms pv0=b2b4
Game 10/40 — we play black...
  → SF (checkmate) plies=61 4381ms pv0=e2e4
Game 11/40 — we play white...
  → SF (checkmate) plies=36 3422ms pv0=g1f3
Game 12/40 — we play black...
  → DRAW (max-plies) plies=200 9285ms pv0=d2d4
Game 13/40 — we play white...
  → SF (checkmate) plies=102 5242ms pv0=c2c4
Game 14/40 — we play black...
  → SF (checkmate) plies=99 5438ms pv0=e2e3
Game 15/40 — we play white...
  → SF (checkmate) plies=56 4920ms pv0=g2g4
Game 16/40 — we play black...
  → SF (checkmate) plies=99 4832ms pv0=e2e3
Game 17/40 — we play white...
  → DRAW (max-plies) plies=200 12892ms pv0=b1a3
Game 18/40 — we play black...
  → SF (checkmate) plies=63 4411ms pv0=e2e4
Game 19/40 — we play white...
  → SF (checkmate) plies=104 7635ms pv0=a2a4
Game 20/40 — we play black...
  → SF (checkmate) plies=75 6876ms pv0=e2e3
Game 21/40 — we play white...
  → DRAW (max-plies) plies=200 8490ms pv0=h2h4
Game 22/40 — we play black...
  → SF (checkmate) plies=63 4153ms pv0=e2e4
Game 23/40 — we play white...
  → SF (checkmate) plies=66 7844ms pv0=d2d3
Game 24/40 — we play black...
  → SF (checkmate) plies=55 5264ms pv0=d2d4
Game 25/40 — we play white...
  → SF (checkmate) plies=58 3420ms pv0=b2b3
Game 26/40 — we play black...
  → SF (checkmate) plies=61 3890ms pv0=e2e3
Game 27/40 — we play white...
  → SF (checkmate) plies=74 11346ms pv0=d2d4
Game 28/40 — we play black...
  → SF (checkmate) plies=75 4351ms pv0=e2e4
Game 29/40 — we play white...
  → SF (checkmate) plies=62 6504ms pv0=d2d4
Game 30/40 — we play black...
  → SF (checkmate) plies=135 7814ms pv0=e2e3
Game 31/40 — we play white...
  → SF (checkmate) plies=62 7369ms pv0=b2b3
Game 32/40 — we play black...
  → SF (checkmate) plies=91 8058ms pv0=e2e3
Game 33/40 — we play white...
  → SF (checkmate) plies=48 5094ms pv0=d2d4
Game 34/40 — we play black...
  → SF (checkmate) plies=71 4915ms pv0=g1f3
Game 35/40 — we play white...
  → SF (checkmate) plies=106 10320ms pv0=c2c3
Game 36/40 — we play black...
  → SF (checkmate) plies=113 5925ms pv0=e2e4
Game 37/40 — we play white...
  → SF (checkmate) plies=98 8739ms pv0=g2g3
Game 38/40 — we play black...
  → DRAW (max-plies) plies=200 10028ms pv0=d2d4
Game 39/40 — we play white...
  → SF (checkmate) plies=80 6083ms pv0=h2h3
Game 40/40 — we play black...
  → SF (checkmate) plies=53 4152ms pv0=g1f3

=== SUMMARY ===
W-D-L (ours): 0-5-35  (n=40)
score: 0.063  Elo vs SF≈ -470  [95% ~ -1200 .. -319]
params: depth=4 sfDepth=8 sfElo=1400 engine=lite-single
term breakdown: checkmate=35 max-plies=5
RESULT oursW=0 sfW=35 D=5 score=0.0625 elo=-470.4 depth=4 sfDepth=8
