=== schach9x9 absolute strength vs Stockfish (8×8) ===
games=40 ourDepth=5 sfDepth=8 sfElo=1400 engine=lite-single maxPlies=200
rules: full standard (castling + EP + auto-queen promo)
Game 1/40 — we play white...
  → SF (checkmate) plies=94 19117ms pv0=f2f4
Game 2/40 — we play black...
  → DRAW (max-plies) plies=200 20837ms pv0=e2e3
Game 3/40 — we play white...
  → DRAW (max-plies) plies=200 18795ms pv0=g2g4
Game 4/40 — we play black...
  → SF (checkmate) plies=47 10638ms pv0=d2d4
Game 5/40 — we play white...
  → DRAW (max-plies) plies=200 20623ms pv0=g2g3
Game 6/40 — we play black...
  → SF (checkmate) plies=75 15152ms pv0=e2e4
Game 7/40 — we play white...
  → DRAW (max-plies) plies=200 19995ms pv0=g2g4
Game 8/40 — we play black...
  → DRAW (max-plies) plies=200 19943ms pv0=e2e4
Game 9/40 — we play white...
  → SF (checkmate) plies=42 11361ms pv0=h2h4
Game 10/40 — we play black...
  → SF (checkmate) plies=41 10084ms pv0=e2e3
Game 11/40 — we play white...
  → SF (checkmate) plies=14 4557ms pv0=b1a3
Game 12/40 — we play black...
  → DRAW (max-plies) plies=200 20403ms pv0=g1f3
Game 13/40 — we play white...
  → DRAW (max-plies) plies=200 26756ms pv0=d2d4
Game 14/40 — we play black...
  → SF (checkmate) plies=39 9957ms pv0=d2d4
Game 15/40 — we play white...
  → SF (checkmate) plies=116 53262ms pv0=d2d4
Game 16/40 — we play black...
  → SF (checkmate) plies=95 16912ms pv0=d2d4
Game 17/40 — we play white...
  → DRAW (max-plies) plies=200 20461ms pv0=b1c3
Game 18/40 — we play black...
  → SF (checkmate) plies=93 10314ms pv0=e2e3
Game 19/40 — we play white...
  → DRAW (max-plies) plies=200 23271ms pv0=e2e4
Game 20/40 — we play black...
  → SF (checkmate) plies=71 14386ms pv0=g1f3
Game 21/40 — we play white...
  → SF (checkmate) plies=58 10721ms pv0=e2e4
Game 22/40 — we play black...
  → SF (checkmate) plies=59 6501ms pv0=e2e4
Game 23/40 — we play white...
  → SF (checkmate) plies=198 10756ms pv0=b1c3
Game 24/40 — we play black...
  → SF (checkmate) plies=65 12685ms pv0=g1f3
Game 25/40 — we play white...
  → SF (checkmate) plies=50 13864ms pv0=b1c3
Game 26/40 — we play black...
  → OURS (checkmate) plies=46 5317ms pv0=e2e4
Game 27/40 — we play white...
  → SF (checkmate) plies=40 7844ms pv0=g2g4
Game 28/40 — we play black...
  → SF (checkmate) plies=47 7127ms pv0=e2e4
Game 29/40 — we play white...
  → SF (checkmate) plies=64 17224ms pv0=g2g3
Game 30/40 — we play black...
  → SF (checkmate) plies=47 8589ms pv0=g1f3
Game 31/40 — we play white...
  → SF (checkmate) plies=12 3289ms pv0=f2f3
Game 32/40 — we play black...
  → SF (checkmate) plies=47 9330ms pv0=e2e4
Game 33/40 — we play white...
  → SF (checkmate) plies=40 9632ms pv0=e2e4
Game 34/40 — we play black...
  → SF (checkmate) plies=103 10400ms pv0=e2e3
Game 35/40 — we play white...
  → DRAW (max-plies) plies=200 27336ms pv0=g2g3
Game 36/40 — we play black...
  → SF (checkmate) plies=35 7290ms pv0=e2e4
Game 37/40 — we play white...
  → SF (checkmate) plies=60 12989ms pv0=h2h3
Game 38/40 — we play black...
  → SF (checkmate) plies=41 9302ms pv0=e2e4
Game 39/40 — we play white...
  → SF (checkmate) plies=76 15217ms pv0=h2h4
Game 40/40 — we play black...
  → DRAW (max-plies) plies=200 17292ms pv0=g1f3

=== SUMMARY ===
W-D-L (ours): 1-11-28  (n=40)
score: 0.163  Elo vs SF≈ -285  [95% ~ -518 .. -167]
params: depth=5 sfDepth=8 sfElo=1400 engine=lite-single
term breakdown: checkmate=29 max-plies=11
RESULT oursW=1 sfW=28 D=11 score=0.1625 elo=-284.9 depth=5 sfDepth=8
