=== schach9x9 absolute strength vs Stockfish (8×8) ===
games=40 ourDepth=5 sfDepth=8 sfElo=1400 engine=lite-single maxPlies=200
rules: full standard (castling + EP + auto-queen promo)
Game 1/40 — we play white...
  → OURS (checkmate) plies=141 21104ms pv0=f2f4
Game 2/40 — we play black...
  → SF (checkmate) plies=41 8928ms pv0=e2e4
Game 3/40 — we play white...
  → SF (checkmate) plies=86 23899ms pv0=d2d4
Game 4/40 — we play black...
  → SF (checkmate) plies=35 7751ms pv0=d2d4
Game 5/40 — we play white...
  → SF (checkmate) plies=28 9205ms pv0=h2h4
Game 6/40 — we play black...
  → DRAW (stalemate) plies=179 21395ms pv0=e2e3
Game 7/40 — we play white...
  → SF (checkmate) plies=52 15202ms pv0=b1a3
Game 8/40 — we play black...
  → SF (checkmate) plies=137 19037ms pv0=e2e3
Game 9/40 — we play white...
  → DRAW (max-plies) plies=200 21483ms pv0=d2d4
Game 10/40 — we play black...
  → SF (checkmate) plies=65 20795ms pv0=g1f3
Game 11/40 — we play white...
  → SF (checkmate) plies=122 32082ms pv0=d2d4
Game 12/40 — we play black...
  → OURS (checkmate) plies=16 4917ms pv0=e2e4
Game 13/40 — we play white...
  → SF (checkmate) plies=74 21434ms pv0=h2h3
Game 14/40 — we play black...
  → SF (checkmate) plies=53 8390ms pv0=g1f3
Game 15/40 — we play white...
  → OURS (checkmate) plies=107 27131ms pv0=d2d4
Game 16/40 — we play black...
  → SF (checkmate) plies=45 8171ms pv0=e2e4
Game 17/40 — we play white...
  → SF (checkmate) plies=86 14027ms pv0=h2h4
Game 18/40 — we play black...
  → SF (checkmate) plies=51 9651ms pv0=d2d4
Game 19/40 — we play white...
  → SF (checkmate) plies=56 19510ms pv0=g1h3
Game 20/40 — we play black...
  → SF (checkmate) plies=47 11556ms pv0=e2e4
Game 21/40 — we play white...
  → SF (checkmate) plies=70 23457ms pv0=g2g3
Game 22/40 — we play black...
  → SF (checkmate) plies=69 16691ms pv0=e2e3
Game 23/40 — we play white...
  → SF (checkmate) plies=84 30824ms pv0=g2g4
Game 24/40 — we play black...
  → SF (checkmate) plies=67 12113ms pv0=g1f3
Game 25/40 — we play white...
  → SF (checkmate) plies=104 17016ms pv0=f2f4
Game 26/40 — we play black...
  → SF (checkmate) plies=117 17616ms pv0=e2e4
Game 27/40 — we play white...
  → SF (illegal-ours) plies=164 23620ms pv0=h2h3
Game 28/40 — we play black...
  → SF (checkmate) plies=69 16478ms pv0=e2e4
Game 29/40 — we play white...
  → SF (checkmate) plies=56 13566ms pv0=g1h3
Game 30/40 — we play black...
  → DRAW (max-plies) plies=200 19553ms pv0=e2e3
Game 31/40 — we play white...
  → SF (checkmate) plies=70 19526ms pv0=b1c3
Game 32/40 — we play black...
  → SF (checkmate) plies=65 10615ms pv0=d2d4
Game 33/40 — we play white...
  → SF (checkmate) plies=54 15067ms pv0=b1c3
Game 34/40 — we play black...
  → DRAW (max-plies) plies=200 25064ms pv0=d2d4
Game 35/40 — we play white...
  → DRAW (max-plies) plies=200 21824ms pv0=d2d4
Game 36/40 — we play black...
  → SF (checkmate) plies=107 24083ms pv0=e2e3
Game 37/40 — we play white...
  → DRAW (max-plies) plies=200 24351ms pv0=e2e4
Game 38/40 — we play black...
  → SF (checkmate) plies=51 8385ms pv0=e2e3
Game 39/40 — we play white...
  → SF (checkmate) plies=68 18802ms pv0=e2e4
Game 40/40 — we play black...
  → OURS (checkmate) plies=102 18673ms pv0=d2d4

=== SUMMARY ===
W-D-L (ours): 4-6-30  (n=40)
score: 0.175  Elo vs SF≈ -269  [95% ~ -487 .. -153]
params: depth=5 sfDepth=8 sfElo=1400 engine=lite-single
term breakdown: checkmate=33 stalemate=1 max-plies=5 illegal-ours=1
RESULT oursW=4 sfW=30 D=6 score=0.1750 elo=-269.4 depth=5 sfDepth=8
