=== schach9x9 absolute strength vs Stockfish (8×8) ===
games=40 ourDepth=5 sfDepth=8 sfElo=1400 engine=lite-single maxPlies=200
rules: full standard (castling + EP + auto-queen promo)
Game 1/40 — we play white...
  → SF (checkmate) plies=48 11401ms pv0=f2f4
Game 2/40 — we play black...
  → SF (checkmate) plies=71 19744ms pv0=e2e3
Game 3/40 — we play white...
  → SF (checkmate) plies=22 4934ms pv0=g2g4
Game 4/40 — we play black...
  → DRAW (max-plies) plies=200 21872ms pv0=e2e4
Game 5/40 — we play white...
  → SF (checkmate) plies=42 11068ms pv0=e2e4
Game 6/40 — we play black...
  → SF (checkmate) plies=77 13503ms pv0=e2e3
Game 7/40 — we play white...
  → SF (checkmate) plies=18 5926ms pv0=d2d4
Game 8/40 — we play black...
  → SF (checkmate) plies=63 14071ms pv0=e2e4
Game 9/40 — we play white...
  → DRAW (max-plies) plies=200 23406ms pv0=e2e4
Game 10/40 — we play black...
  → SF (checkmate) plies=35 6228ms pv0=g1f3
Game 11/40 — we play white...
  → SF (checkmate) plies=52 15397ms pv0=h2h4
Game 12/40 — we play black...
  → SF (checkmate) plies=59 12998ms pv0=d2d4
Game 13/40 — we play white...
  → DRAW (max-plies) plies=200 24201ms pv0=e2e4
Game 14/40 — we play black...
  → SF (checkmate) plies=47 8057ms pv0=e2e3
Game 15/40 — we play white...
  → SF (checkmate) plies=188 16137ms pv0=d2d4
Game 16/40 — we play black...
  → SF (checkmate) plies=45 7289ms pv0=d2d4
Game 17/40 — we play white...
  → SF (checkmate) plies=82 21078ms pv0=d2d4
Game 18/40 — we play black...
  → DRAW (max-plies) plies=200 14904ms pv0=g1f3
Game 19/40 — we play white...
  → SF (checkmate) plies=44 11854ms pv0=e2e4
Game 20/40 — we play black...
  → SF (checkmate) plies=99 17378ms pv0=e2e3
Game 21/40 — we play white...
  → SF (checkmate) plies=54 16934ms pv0=d2d4
Game 22/40 — we play black...
  → SF (checkmate) plies=91 12565ms pv0=e2e3
Game 23/40 — we play white...
  → SF (checkmate) plies=12 3877ms pv0=f2f4
Game 24/40 — we play black...
  → DRAW (max-plies) plies=200 18345ms pv0=d2d4
Game 25/40 — we play white...
  → DRAW (max-plies) plies=200 26369ms pv0=g2g4
Game 26/40 — we play black...
  → SF (checkmate) plies=95 12944ms pv0=d2d4
Game 27/40 — we play white...
  → DRAW (max-plies) plies=200 19785ms pv0=b1a3
Game 28/40 — we play black...
  → DRAW (max-plies) plies=200 23298ms pv0=d2d4
Game 29/40 — we play white...
  → SF (checkmate) plies=36 7891ms pv0=b1c3
Game 30/40 — we play black...
  → DRAW (max-plies) plies=200 21018ms pv0=d2d4
Game 31/40 — we play white...
  → SF (checkmate) plies=80 20937ms pv0=f2f4
Game 32/40 — we play black...
  → SF (illegal-ours) plies=45 8121ms pv0=e2e3
Game 33/40 — we play white...
  → OURS (checkmate) plies=167 24293ms pv0=g1h3
Game 34/40 — we play black...
  → SF (checkmate) plies=79 9966ms pv0=e2e4
Game 35/40 — we play white...
  → SF (illegal-ours) plies=80 23600ms pv0=b1c3
Game 36/40 — we play black...
  → DRAW (max-plies) plies=200 22671ms pv0=g1f3
Game 37/40 — we play white...
  → SF (checkmate) plies=54 12626ms pv0=b1c3
Game 38/40 — we play black...
  → SF (checkmate) plies=49 10944ms pv0=e2e3
Game 39/40 — we play white...
  → SF (illegal-ours) plies=84 13047ms pv0=b1c3
Game 40/40 — we play black...
  → SF (checkmate) plies=113 14988ms pv0=g1f3

=== SUMMARY ===
W-D-L (ours): 1-10-29  (n=40)
score: 0.150  Elo vs SF≈ -301  [95% ~ -555 .. -181]
params: depth=5 sfDepth=8 sfElo=1400 engine=lite-single
term breakdown: checkmate=27 max-plies=10 illegal-ours=3
RESULT oursW=1 sfW=29 D=10 score=0.1500 elo=-301.3 depth=5 sfDepth=8
