=== schach9x9 absolute strength vs Stockfish (8×8) ===
games=40 ourDepth=5 sfDepth=8 sfElo=1400 engine=lite-single maxPlies=200
rules: full standard (castling + EP + auto-queen promo)
Game 1/40 — we play white...
  → DRAW (max-plies) plies=200 22253ms pv0=f2f4
Game 2/40 — we play black...
  → SF (checkmate) plies=87 14775ms pv0=g1f3
Game 3/40 — we play white...
  → SF (checkmate) plies=66 18134ms pv0=d2d4
Game 4/40 — we play black...
  → SF (checkmate) plies=71 10847ms pv0=e2e4
Game 5/40 — we play white...
  → OURS (checkmate) plies=133 15629ms pv0=g2g4
Game 6/40 — we play black...
  → DRAW (max-plies) plies=200 15336ms pv0=g1f3
Game 7/40 — we play white...
  → SF (checkmate) plies=120 25663ms pv0=d2d4
Game 8/40 — we play black...
  → SF (checkmate) plies=25 3629ms pv0=e2e4
Game 9/40 — we play white...
  → SF (checkmate) plies=50 10789ms pv0=d2d4
Game 10/40 — we play black...
  → SF (checkmate) plies=87 8913ms pv0=d2d4
Game 11/40 — we play white...
  → SF (checkmate) plies=186 17869ms pv0=d2d4
Game 12/40 — we play black...
  → SF (checkmate) plies=71 12142ms pv0=g1f3
Game 13/40 — we play white...
  → SF (checkmate) plies=94 23486ms pv0=d2d4
Game 14/40 — we play black...
  → SF (checkmate) plies=41 6389ms pv0=d2d4
Game 15/40 — we play white...
  → OURS (checkmate) plies=123 19504ms pv0=d2d4
Game 16/40 — we play black...
  → SF (checkmate) plies=41 5609ms pv0=e2e4
Game 17/40 — we play white...
  → SF (checkmate) plies=50 47038ms pv0=d2d4
Game 18/40 — we play black...
  → SF (checkmate) plies=159 14860ms pv0=e2e3
Game 19/40 — we play white...
  → SF (checkmate) plies=44 6936ms pv0=d2d4
Game 20/40 — we play black...
  → SF (checkmate) plies=61 7462ms pv0=d2d4
Game 21/40 — we play white...
  → DRAW (max-plies) plies=200 21754ms pv0=e2e4
Game 22/40 — we play black...
  → SF (checkmate) plies=39 5792ms pv0=d2d4
Game 23/40 — we play white...
  → SF (checkmate) plies=44 6281ms pv0=e2e4
Game 24/40 — we play black...
  → OURS (checkmate) plies=98 14418ms pv0=g1f3
Game 25/40 — we play white...
  → DRAW (max-plies) plies=200 17251ms pv0=e2e4
Game 26/40 — we play black...
  → SF (checkmate) plies=95 11306ms pv0=d2d4
Game 27/40 — we play white...
  → SF (illegal-ours) plies=150 32435ms pv0=g1f3
Game 28/40 — we play black...
