=== schach9x9 absolute strength vs Stockfish (8×8) ===
games=40 ourDepth=5 sfDepth=8 sfElo=1400 engine=lite-single maxPlies=200
rules: full standard (castling + EP + auto-queen promo)
Game 1/40 — we play white...
  → SF (checkmate) plies=98 15000ms pv0=f2f4
Game 2/40 — we play black...
  → SF (checkmate) plies=121 14382ms pv0=e2e4
Game 3/40 — we play white...
  → OURS (checkmate) plies=73 13982ms pv0=g2g3
Game 4/40 — we play black...
  → SF (checkmate) plies=199 16259ms pv0=g1f3
Game 5/40 — we play white...
  → SF (checkmate) plies=48 17171ms pv0=h2h4
Game 6/40 — we play black...
  → SF (checkmate) plies=67 10620ms pv0=e2e4
Game 7/40 — we play white...
  → DRAW (max-plies) plies=200 17304ms pv0=g1f3
Game 8/40 — we play black...
  → SF (checkmate) plies=63 11612ms pv0=e2e3
Game 9/40 — we play white...
  → SF (checkmate) plies=20 2997ms pv0=g2g4
Game 10/40 — we play black...
  → SF (checkmate) plies=51 10393ms pv0=e2e4
Game 11/40 — we play white...
  → SF (checkmate) plies=48 7088ms pv0=h2h4
Game 12/40 — we play black...
  → SF (checkmate) plies=59 8551ms pv0=d2d4
Game 13/40 — we play white...
  → DRAW (max-plies) plies=200 20612ms pv0=g1f3
Game 14/40 — we play black...
  → SF (checkmate) plies=131 11450ms pv0=d2d4
Game 15/40 — we play white...
  → SF (checkmate) plies=54 12888ms pv0=d2d4
Game 16/40 — we play black...
  → SF (checkmate) plies=49 7898ms pv0=e2e4
Game 17/40 — we play white...
  → SF (checkmate) plies=108 12219ms pv0=d2d4
Game 18/40 — we play black...
  → SF (checkmate) plies=73 8580ms pv0=e2e4
Game 19/40 — we play white...
  → SF (checkmate) plies=84 14536ms pv0=d2d4
Game 20/40 — we play black...
  → SF (checkmate) plies=63 10392ms pv0=d2d4
Game 21/40 — we play white...
  → DRAW (max-plies) plies=200 29675ms pv0=d2d4
Game 22/40 — we play black...
  → SF (checkmate) plies=165 14433ms pv0=e2e4
Game 23/40 — we play white...
  → SF (checkmate) plies=86 15075ms pv0=d2d4
Game 24/40 — we play black...
  → SF (checkmate) plies=69 10583ms pv0=d2d4
Game 25/40 — we play white...
  → SF (checkmate) plies=86 42193ms pv0=d2d4
Game 26/40 — we play black...
  → SF (checkmate) plies=35 7573ms pv0=d2d4
Game 27/40 — we play white...
  → SF (checkmate) plies=46 12257ms pv0=d2d4
Game 28/40 — we play black...
  → SF (checkmate) plies=41 5048ms pv0=e2e4
Game 29/40 — we play white...
  → SF (checkmate) plies=78 13964ms pv0=b1c3
Game 30/40 — we play black...
  → DRAW (max-plies) plies=200 16156ms pv0=d2d4
Game 31/40 — we play white...
  → SF (checkmate) plies=46 11650ms pv0=g1f3
Game 32/40 — we play black...
  → SF (checkmate) plies=19 1592ms pv0=e2e4
Game 33/40 — we play white...
  → DRAW (stalemate) plies=120 16903ms pv0=g1f3
Game 34/40 — we play black...
  → SF (checkmate) plies=63 7270ms pv0=e2e4
Game 35/40 — we play white...
  → OURS (checkmate) plies=157 15405ms pv0=d2d4
Game 36/40 — we play black...
  → SF (checkmate) plies=111 13563ms pv0=e2e3
Game 37/40 — we play white...
  → SF (illegal-ours) plies=184 16655ms pv0=b1a3
Game 38/40 — we play black...
  → SF (checkmate) plies=53 8615ms pv0=d2d4
Game 39/40 — we play white...
  → SF (checkmate) plies=74 15809ms pv0=d2d4
Game 40/40 — we play black...
  → DRAW (max-plies) plies=200 14988ms pv0=g1f3

=== SUMMARY ===
W-D-L (ours): 2-6-32  (n=40)
score: 0.125  Elo vs SF≈ -338  [95% ~ -655 .. -212]
params: depth=5 sfDepth=8 sfElo=1400 engine=lite-single
term breakdown: checkmate=33 max-plies=5 stalemate=1 illegal-ours=1
RESULT oursW=2 sfW=32 D=6 score=0.1250 elo=-338.0 depth=5 sfDepth=8
