=== schach9x9 absolute strength vs Stockfish (8×8) ===
games=40 ourDepth=4 sfDepth=8 sfElo=1400 engine=lite-single maxPlies=200
rules: full standard (castling + EP + auto-queen promo)
Game 1/40 — we play white...
  → SF (checkmate) plies=86 6925ms pv0=d2d4
Game 2/40 — we play black...
  → SF (checkmate) plies=87 6368ms pv0=d2d4
Game 3/40 — we play white...
  → SF (checkmate) plies=68 7531ms pv0=e2e4
Game 4/40 — we play black...
  → SF (checkmate) plies=43 3366ms pv0=e2e3
Game 5/40 — we play white...
  → SF (checkmate) plies=58 7305ms pv0=d2d4
Game 6/40 — we play black...
  → SF (checkmate) plies=83 7209ms pv0=d2d4
Game 7/40 — we play white...
  → SF (checkmate) plies=54 4530ms pv0=f2f3
Game 8/40 — we play black...
  → SF (checkmate) plies=85 7214ms pv0=d2d4
Game 9/40 — we play white...
  → SF (checkmate) plies=64 6432ms pv0=a2a3
Game 10/40 — we play black...
  → SF (checkmate) plies=57 4499ms pv0=d2d4
Game 11/40 — we play white...
  → SF (checkmate) plies=42 3436ms pv0=g2g3
Game 12/40 — we play black...
  → SF (checkmate) plies=95 7879ms pv0=e2e3
Game 13/40 — we play white...
  → SF (checkmate) plies=48 3937ms pv0=b2b3
Game 14/40 — we play black...
  → SF (checkmate) plies=67 5646ms pv0=d2d4
Game 15/40 — we play white...
  → SF (checkmate) plies=74 6416ms pv0=b2b4
Game 16/40 — we play black...
  → SF (checkmate) plies=69 5632ms pv0=e2e4
Game 17/40 — we play white...
  → DRAW (max-plies) plies=200 15533ms pv0=g2g4
Game 18/40 — we play black...
  → SF (checkmate) plies=99 9377ms pv0=g1f3
Game 19/40 — we play white...
  → DRAW (max-plies) plies=200 11035ms pv0=a2a4
Game 20/40 — we play black...
  → SF (checkmate) plies=65 4678ms pv0=e2e3
Game 21/40 — we play white...
  → SF (checkmate) plies=186 11059ms pv0=h2h3
Game 22/40 — we play black...
  → SF (checkmate) plies=43 3045ms pv0=d2d4
Game 23/40 — we play white...
  → SF (checkmate) plies=50 4154ms pv0=a2a4
Game 24/40 — we play black...
  → SF (checkmate) plies=49 3059ms pv0=d2d4
Game 25/40 — we play white...
  → SF (checkmate) plies=46 4429ms pv0=c2c3
Game 26/40 — we play black...
  → SF (checkmate) plies=77 6236ms pv0=d2d4
Game 27/40 — we play white...
  → SF (checkmate) plies=20 1525ms pv0=b2b3
Game 28/40 — we play black...
  → SF (checkmate) plies=65 3990ms pv0=e2e3
Game 29/40 — we play white...
  → SF (checkmate) plies=76 6311ms pv0=f2f3
Game 30/40 — we play black...
  → OURS (checkmate) plies=146 7730ms pv0=g1f3
Game 31/40 — we play white...
  → SF (checkmate) plies=106 6632ms pv0=f2f3
Game 32/40 — we play black...
  → SF (checkmate) plies=63 4398ms pv0=e2e3
Game 33/40 — we play white...
  → SF (checkmate) plies=44 2522ms pv0=f2f3
Game 34/40 — we play black...
  → SF (checkmate) plies=105 4368ms pv0=d2d4
Game 35/40 — we play white...
  → SF (checkmate) plies=170 9571ms pv0=b1a3
Game 36/40 — we play black...
  → SF (checkmate) plies=99 6642ms pv0=g1f3
Game 37/40 — we play white...
  → SF (checkmate) plies=166 7627ms pv0=b1a3
Game 38/40 — we play black...
  → SF (checkmate) plies=125 7478ms pv0=d2d4
Game 39/40 — we play white...
  → OURS (checkmate) plies=119 6764ms pv0=f2f3
Game 40/40 — we play black...
  → SF (checkmate) plies=49 3795ms pv0=e2e3

=== SUMMARY ===
W-D-L (ours): 2-2-36  (n=40)
score: 0.075  Elo vs SF≈ -436  [95% ~ -1200 .. -292]
params: depth=4 sfDepth=8 sfElo=1400 engine=lite-single
term breakdown: checkmate=38 max-plies=2
RESULT oursW=2 sfW=36 D=2 score=0.0750 elo=-436.4 depth=4 sfDepth=8
