=== schach9x9 absolute strength vs Stockfish (8×8) ===
games=40 ourDepth=4 sfDepth=8 sfElo=1400 engine=lite-single maxPlies=200
rules: full standard (castling + EP + auto-queen promo)
Game 1/40 — we play white...
  → SF (checkmate) plies=44 4012ms pv0=d2d4
Game 2/40 — we play black...
  → SF (checkmate) plies=77 7497ms pv0=g1f3
Game 3/40 — we play white...
  → SF (checkmate) plies=72 6534ms pv0=b1a3
Game 4/40 — we play black...
  → SF (checkmate) plies=77 5376ms pv0=e2e4
Game 5/40 — we play white...
  → OURS (checkmate) plies=141 8791ms pv0=f2f4
Game 6/40 — we play black...
  → SF (checkmate) plies=73 5750ms pv0=e2e4
Game 7/40 — we play white...
  → SF (checkmate) plies=38 3362ms pv0=a2a3
Game 8/40 — we play black...
  → SF (checkmate) plies=85 4857ms pv0=e2e4
Game 9/40 — we play white...
  → SF (checkmate) plies=74 6630ms pv0=e2e3
Game 10/40 — we play black...
  → SF (checkmate) plies=103 6099ms pv0=e2e4
Game 11/40 — we play white...
  → DRAW (max-plies) plies=200 9392ms pv0=g2g4
Game 12/40 — we play black...
  → SF (checkmate) plies=159 7803ms pv0=d2d4
Game 13/40 — we play white...
  → SF (checkmate) plies=54 5863ms pv0=h2h4
Game 14/40 — we play black...
  → SF (checkmate) plies=103 8083ms pv0=e2e4
Game 15/40 — we play white...
  → SF (checkmate) plies=50 4243ms pv0=d2d4
Game 16/40 — we play black...
  → SF (checkmate) plies=75 4007ms pv0=e2e3
Game 17/40 — we play white...
  → SF (checkmate) plies=56 4194ms pv0=h2h4
Game 18/40 — we play black...
  → DRAW (max-plies) plies=200 6041ms pv0=e2e4
Game 19/40 — we play white...
  → DRAW (max-plies) plies=200 7546ms pv0=d2d4
Game 20/40 — we play black...
  → DRAW (max-plies) plies=200 7803ms pv0=e2e3
Game 21/40 — we play white...
  → SF (checkmate) plies=26 2641ms pv0=h2h4
Game 22/40 — we play black...
  → SF (checkmate) plies=93 7274ms pv0=e2e3
Game 23/40 — we play white...
  → SF (checkmate) plies=68 4897ms pv0=d2d3
Game 24/40 — we play black...
  → SF (checkmate) plies=79 5135ms pv0=d2d4
Game 25/40 — we play white...
  → SF (checkmate) plies=68 4297ms pv0=b1c3
Game 26/40 — we play black...
  → SF (checkmate) plies=141 9437ms pv0=d2d4
Game 27/40 — we play white...
  → SF (checkmate) plies=124 10578ms pv0=b1c3
Game 28/40 — we play black...
  → SF (checkmate) plies=65 3892ms pv0=g1f3
Game 29/40 — we play white...
  → SF (checkmate) plies=34 3504ms pv0=b2b3
Game 30/40 — we play black...
  → SF (checkmate) plies=49 3682ms pv0=e2e4
Game 31/40 — we play white...
  → SF (checkmate) plies=86 6021ms pv0=b2b4
Game 32/40 — we play black...
  → SF (checkmate) plies=79 5804ms pv0=g1f3
Game 33/40 — we play white...
  → SF (checkmate) plies=82 6209ms pv0=c2c3
Game 34/40 — we play black...
  → SF (checkmate) plies=83 6933ms pv0=e2e3
Game 35/40 — we play white...
  → SF (checkmate) plies=88 5141ms pv0=a2a4
Game 36/40 — we play black...
  → SF (checkmate) plies=51 4641ms pv0=d2d4
Game 37/40 — we play white...
  → SF (checkmate) plies=44 2715ms pv0=g2g3
Game 38/40 — we play black...
  → SF (checkmate) plies=83 6581ms pv0=e2e3
Game 39/40 — we play white...
  → SF (checkmate) plies=100 7140ms pv0=d2d4
Game 40/40 — we play black...
  → SF (checkmate) plies=179 6863ms pv0=d2d4

=== SUMMARY ===
W-D-L (ours): 1-4-35  (n=40)
score: 0.075  Elo vs SF≈ -436  [95% ~ -1200 .. -292]
params: depth=4 sfDepth=8 sfElo=1400 engine=lite-single
term breakdown: checkmate=36 max-plies=4
RESULT oursW=1 sfW=35 D=4 score=0.0750 elo=-436.4 depth=4 sfDepth=8
