=== schach9x9 absolute strength vs Stockfish (8×8) ===
games=40 ourDepth=4 sfDepth=8 sfElo=1400 engine=lite-single maxPlies=200
rules: full standard (castling + EP + auto-queen promo)
Game 1/40 — we play white...
  → SF (checkmate) plies=60 7487ms pv0=d2d4
Game 2/40 — we play black...
  → SF (checkmate) plies=51 2994ms pv0=e2e3
Game 3/40 — we play white...
  → SF (checkmate) plies=98 8017ms pv0=e2e3
Game 4/40 — we play black...
  → SF (checkmate) plies=51 3719ms pv0=g1f3
Game 5/40 — we play white...
  → SF (checkmate) plies=32 3557ms pv0=b1a3
Game 6/40 — we play black...
  → SF (checkmate) plies=73 6915ms pv0=e2e4
Game 7/40 — we play white...
  → SF (checkmate) plies=64 5510ms pv0=f2f4
Game 8/40 — we play black...
  → DRAW (max-plies) plies=200 10095ms pv0=e2e4
Game 9/40 — we play white...
  → SF (checkmate) plies=26 2753ms pv0=g2g4
Game 10/40 — we play black...
  → SF (checkmate) plies=73 8262ms pv0=g1f3
Game 11/40 — we play white...
  → SF (checkmate) plies=46 3806ms pv0=a2a4
Game 12/40 — we play black...
  → SF (checkmate) plies=45 3515ms pv0=e2e4
Game 13/40 — we play white...
  → OURS (checkmate) plies=111 7706ms pv0=b2b3
Game 14/40 — we play black...
  → SF (checkmate) plies=65 5339ms pv0=d2d4
Game 15/40 — we play white...
  → SF (checkmate) plies=70 5839ms pv0=b2b4
Game 16/40 — we play black...
  → DRAW (max-plies) plies=200 8751ms pv0=e2e3
Game 17/40 — we play white...
  → DRAW (max-plies) plies=200 11561ms pv0=b2b3
Game 18/40 — we play black...
  → SF (checkmate) plies=95 6072ms pv0=e2e3
Game 19/40 — we play white...
  → SF (checkmate) plies=160 13302ms pv0=c2c3
Game 20/40 — we play black...
  → SF (checkmate) plies=69 5866ms pv0=g1f3
Game 21/40 — we play white...
  → SF (checkmate) plies=70 4285ms pv0=d2d3
Game 22/40 — we play black...
  → SF (checkmate) plies=75 5771ms pv0=e2e3
Game 23/40 — we play white...
  → SF (checkmate) plies=72 5177ms pv0=f2f3
Game 24/40 — we play black...
  → SF (checkmate) plies=39 3103ms pv0=g1f3
Game 25/40 — we play white...
  → SF (checkmate) plies=62 4643ms pv0=f2f3
Game 26/40 — we play black...
  → SF (checkmate) plies=183 7482ms pv0=d2d4
Game 27/40 — we play white...
  → SF (checkmate) plies=32 2893ms pv0=b2b3
Game 28/40 — we play black...
  → SF (checkmate) plies=93 6984ms pv0=d2d4
Game 29/40 — we play white...
  → SF (checkmate) plies=64 5283ms pv0=f2f3
Game 30/40 — we play black...
  → SF (checkmate) plies=41 2776ms pv0=e2e4
Game 31/40 — we play white...
  → SF (checkmate) plies=108 6468ms pv0=f2f3
Game 32/40 — we play black...
  → SF (checkmate) plies=37 2889ms pv0=d2d4
Game 33/40 — we play white...
  → SF (checkmate) plies=82 5940ms pv0=e2e4
Game 34/40 — we play black...
  → SF (checkmate) plies=109 6895ms pv0=d2d4
Game 35/40 — we play white...
  → SF (checkmate) plies=28 3304ms pv0=b2b4
Game 36/40 — we play black...
  → SF (checkmate) plies=51 3897ms pv0=e2e4
Game 37/40 — we play white...
  → SF (checkmate) plies=118 5140ms pv0=d2d3
Game 38/40 — we play black...
  → SF (checkmate) plies=69 4836ms pv0=d2d4
Game 39/40 — we play white...
  → SF (checkmate) plies=52 3675ms pv0=f2f3
Game 40/40 — we play black...
  → SF (checkmate) plies=71 3437ms pv0=e2e4

=== SUMMARY ===
W-D-L (ours): 1-3-36  (n=40)
score: 0.063  Elo vs SF≈ -470  [95% ~ -1200 .. -319]
params: depth=4 sfDepth=8 sfElo=1400 engine=lite-single
term breakdown: checkmate=37 max-plies=3
RESULT oursW=1 sfW=36 D=3 score=0.0625 elo=-470.4 depth=4 sfDepth=8
fDepth=8
