=== schach9x9 absolute strength vs Stockfish (8×8) ===
games=40 ourDepth=4 sfDepth=8 sfElo=1400 engine=lite-single maxPlies=200
rules: full standard (castling + EP + auto-queen promo)
Game 1/40 — we play white...
  → SF (checkmate) plies=62 4682ms pv0=d2d4
Game 2/40 — we play black...
  → SF (checkmate) plies=29 2400ms pv0=e2e3
Game 3/40 — we play white...
  → SF (checkmate) plies=62 4586ms pv0=e2e4
Game 4/40 — we play black...
  → SF (checkmate) plies=61 3592ms pv0=g1f3
Game 5/40 — we play white...
  → SF (checkmate) plies=76 6161ms pv0=f2f4
Game 6/40 — we play black...
  → DRAW (max-plies) plies=200 6810ms pv0=g1f3
Game 7/40 — we play white...
  → DRAW (max-plies) plies=200 9877ms pv0=b2b4
Game 8/40 — we play black...
  → SF (checkmate) plies=39 3029ms pv0=e2e3
Game 9/40 — we play white...
  → SF (checkmate) plies=62 4727ms pv0=g2g4
Game 10/40 — we play black...
  → OURS (checkmate) plies=32 2277ms pv0=e2e4
Game 11/40 — we play white...
  → SF (checkmate) plies=44 4174ms pv0=b1a3
Game 12/40 — we play black...
  → SF (checkmate) plies=107 6817ms pv0=g1f3
Game 13/40 — we play white...
  → SF (checkmate) plies=76 4849ms pv0=a2a4
Game 14/40 — we play black...
  → SF (checkmate) plies=95 7021ms pv0=g1f3
Game 15/40 — we play white...
  → SF (checkmate) plies=56 5281ms pv0=d2d4
Game 16/40 — we play black...
  → SF (checkmate) plies=25 2019ms pv0=e2e4
Game 17/40 — we play white...
  → SF (checkmate) plies=96 4614ms pv0=d2d4
Game 18/40 — we play black...
  → SF (checkmate) plies=61 5067ms pv0=d2d4
Game 19/40 — we play white...
  → SF (checkmate) plies=62 9065ms pv0=h2h4
Game 20/40 — we play black...
  → DRAW (max-plies) plies=200 9079ms pv0=e2e3
Game 21/40 — we play white...
  → SF (checkmate) plies=44 3231ms pv0=a2a4
Game 22/40 — we play black...
  → SF (checkmate) plies=95 7666ms pv0=e2e3
Game 23/40 — we play white...
  → SF (checkmate) plies=70 5091ms pv0=b2b3
Game 24/40 — we play black...
  → SF (checkmate) plies=77 4547ms pv0=e2e4
Game 25/40 — we play white...
  → SF (checkmate) plies=130 6982ms pv0=d2d3
Game 26/40 — we play black...
  → SF (checkmate) plies=63 4099ms pv0=e2e4
Game 27/40 — we play white...
  → SF (checkmate) plies=92 6717ms pv0=b2b3
Game 28/40 — we play black...
  → SF (checkmate) plies=37 1800ms pv0=g1f3
Game 29/40 — we play white...
  → OURS (checkmate) plies=109 6488ms pv0=c2c3
Game 30/40 — we play black...
  → SF (checkmate) plies=41 2527ms pv0=d2d4
Game 31/40 — we play white...
  → SF (checkmate) plies=58 7812ms pv0=d2d4
Game 32/40 — we play black...
  → SF (checkmate) plies=57 4198ms pv0=g1f3
Game 33/40 — we play white...
  → SF (checkmate) plies=50 3853ms pv0=d2d4
Game 34/40 — we play black...
  → SF (checkmate) plies=93 7662ms pv0=e2e3
Game 35/40 — we play white...
  → SF (checkmate) plies=156 12613ms pv0=g2g3
Game 36/40 — we play black...
  → OURS (checkmate) plies=106 8553ms pv0=d2d4
Game 37/40 — we play white...
  → SF (checkmate) plies=46 4403ms pv0=f2f3
Game 38/40 — we play black...
  → SF (checkmate) plies=63 4193ms pv0=e2e4
Game 39/40 — we play white...
  → SF (checkmate) plies=78 4931ms pv0=e2e4
Game 40/40 — we play black...
  → OURS (checkmate) plies=92 6380ms pv0=e2e4

=== SUMMARY ===
W-D-L (ours): 4-3-33  (n=40)
score: 0.138  Elo vs SF≈ -319  [95% ~ -599 .. -196]
params: depth=4 sfDepth=8 sfElo=1400 engine=lite-single
term breakdown: checkmate=37 max-plies=3
RESULT oursW=4 sfW=33 D=3 score=0.1375 elo=-319.0 depth=4 sfDepth=8
