=== schach9x9 absolute strength vs Stockfish (8×8) ===
games=40 ourDepth=4 sfDepth=8 sfElo=1400 engine=lite-single maxPlies=200
rules: full standard (castling + EP + auto-queen promo)
Game 1/40 — we play white...
  → DRAW (max-plies) plies=200 10569ms pv0=d2d4
Game 2/40 — we play black...
  → SF (checkmate) plies=31 2271ms pv0=g1f3
Game 3/40 — we play white...
  → SF (checkmate) plies=198 13213ms pv0=b1a3
Game 4/40 — we play black...
  → SF (checkmate) plies=39 3226ms pv0=e2e4
Game 5/40 — we play white...
  → SF (checkmate) plies=44 3782ms pv0=f2f4
Game 6/40 — we play black...
  → SF (checkmate) plies=113 4938ms pv0=g1f3
Game 7/40 — we play white...
  → SF (checkmate) plies=46 5598ms pv0=e2e3
Game 8/40 — we play black...
  → SF (checkmate) plies=59 4065ms pv0=e2e3
Game 9/40 — we play white...
  → SF (checkmate) plies=56 4187ms pv0=b2b4
Game 10/40 — we play black...
  → SF (checkmate) plies=27 2635ms pv0=e2e4
Game 11/40 — we play white...
  → DRAW (max-plies) plies=200 9953ms pv0=a2a4
Game 12/40 — we play black...
  → SF (checkmate) plies=85 5918ms pv0=d2d4
Game 13/40 — we play white...
  → SF (checkmate) plies=82 7746ms pv0=c2c4
Game 14/40 — we play black...
  → SF (checkmate) plies=51 3214ms pv0=d2d4
Game 15/40 — we play white...
  → DRAW (max-plies) plies=200 11031ms pv0=b2b3
Game 16/40 — we play black...
  → SF (checkmate) plies=85 4849ms pv0=d2d4
Game 17/40 — we play white...
  → SF (checkmate) plies=126 10280ms pv0=c2c3
Game 18/40 — we play black...
  → SF (checkmate) plies=59 4316ms pv0=e2e4
Game 19/40 — we play white...
  → SF (checkmate) plies=70 5447ms pv0=d2d3
Game 20/40 — we play black...
  → SF (checkmate) plies=69 4460ms pv0=e2e4
Game 21/40 — we play white...
  → SF (checkmate) plies=98 10234ms pv0=f2f3
Game 22/40 — we play black...
  → SF (checkmate) plies=47 2844ms pv0=g1f3
Game 23/40 — we play white...
  → DRAW (max-plies) plies=200 8409ms pv0=c2c3
Game 24/40 — we play black...
  → SF (checkmate) plies=91 4977ms pv0=g1f3
Game 25/40 — we play white...
  → SF (checkmate) plies=84 7898ms pv0=a2a4
Game 26/40 — we play black...
  → SF (checkmate) plies=151 7218ms pv0=g1f3
Game 27/40 — we play white...
  → DRAW (max-plies) plies=200 10033ms pv0=b2b4
Game 28/40 — we play black...
  → SF (checkmate) plies=137 9267ms pv0=e2e4
Game 29/40 — we play white...
  → SF (checkmate) plies=54 3601ms pv0=c2c4
Game 30/40 — we play black...
  → SF (checkmate) plies=189 8126ms pv0=e2e4
Game 31/40 — we play white...
  → OURS (checkmate) plies=53 5683ms pv0=d2d3
Game 32/40 — we play black...
  → SF (checkmate) plies=41 2963ms pv0=d2d4
Game 33/40 — we play white...
  → DRAW (max-plies) plies=200 11947ms pv0=g2g3
Game 34/40 — we play black...
  → SF (checkmate) plies=91 6749ms pv0=e2e3
Game 35/40 — we play white...
  → OURS (checkmate) plies=61 4881ms pv0=h2h3
Game 36/40 — we play black...
  → SF (checkmate) plies=77 6918ms pv0=g1f3
Game 37/40 — we play white...
  → SF (checkmate) plies=84 5206ms pv0=a2a4
Game 38/40 — we play black...
  → SF (checkmate) plies=77 5953ms pv0=e2e4
Game 39/40 — we play white...
  → SF (checkmate) plies=56 3399ms pv0=g1f3
Game 40/40 — we play black...
  → SF (checkmate) plies=45 2886ms pv0=d2d4

=== SUMMARY ===
W-D-L (ours): 2-6-32  (n=40)
score: 0.125  Elo vs SF≈ -338  [95% ~ -655 .. -212]
params: depth=4 sfDepth=8 sfElo=1400 engine=lite-single
term breakdown: max-plies=6 checkmate=34
RESULT oursW=2 sfW=32 D=6 score=0.1250 elo=-338.0 depth=4 sfDepth=8
