=== schach9x9 absolute strength vs Stockfish (8×8) ===
games=40 ourDepth=5 sfDepth=8 sfElo=1400 engine=lite-single maxPlies=200
rules: full standard (castling + EP + auto-queen promo)
Game 1/40 — we play white...
  → OURS (checkmate) plies=73 22454ms pv0=f2f4
Game 2/40 — we play black...
  → SF (checkmate) plies=83 22557ms pv0=e2e4
Game 3/40 — we play white...
  → SF (checkmate) plies=64 12053ms pv0=g2g3
Game 4/40 — we play black...
  → DRAW (max-plies) plies=200 22727ms pv0=d2d4
Game 5/40 — we play white...
  → SF (checkmate) plies=34 17369ms pv0=d2d4
Game 6/40 — we play black...
  → OURS (checkmate) plies=72 14314ms pv0=e2e4
Game 7/40 — we play white...
  → DRAW (max-plies) plies=200 31944ms pv0=d2d4
Game 8/40 — we play black...
  → SF (illegal-ours) plies=129 22344ms pv0=d2d4
Game 9/40 — we play white...
  → SF (illegal-ours) plies=52 17212ms pv0=f2f4
Game 10/40 — we play black...
  → OURS (checkmate) plies=96 22021ms pv0=e2e4
Game 11/40 — we play white...
  → DRAW (max-plies) plies=200 42621ms pv0=g2g3
Game 12/40 — we play black...
  → OURS (checkmate) plies=88 21962ms pv0=e2e3
Game 13/40 — we play white...
  → SF (checkmate) plies=178 27766ms pv0=g2g4
Game 14/40 — we play black...
  → SF (checkmate) plies=79 19006ms pv0=g1f3
Game 15/40 — we play white...
  → DRAW (max-plies) plies=200 37472ms pv0=h2h4
Game 16/40 — we play black...
  → SF (checkmate) plies=85 22271ms pv0=d2d4
Game 17/40 — we play white...
  → OURS (checkmate) plies=73 10768ms pv0=h2h3
Game 18/40 — we play black...
  → OURS (checkmate) plies=100 26040ms pv0=d2d4
Game 19/40 — we play white...
  → SF (checkmate) plies=100 33776ms pv0=b1a3
Game 20/40 — we play black...
  → SF (checkmate) plies=47 8733ms pv0=d2d4
Game 21/40 — we play white...
  → DRAW (max-plies) plies=200 27631ms pv0=f2f4
Game 22/40 — we play black...
  → SF (checkmate) plies=55 12673ms pv0=d2d4
Game 23/40 — we play white...
  → SF (checkmate) plies=74 25660ms pv0=h2h3
Game 24/40 — we play black...
  → SF (checkmate) plies=57 16970ms pv0=g1f3
Game 25/40 — we play white...
  → OURS (checkmate) plies=31 6879ms pv0=g1h3
Game 26/40 — we play black...
  → OURS (checkmate) plies=152 23707ms pv0=g1f3
Game 27/40 — we play white...
  → SF (checkmate) plies=100 32175ms pv0=b1c3
Game 28/40 — we play black...
  → DRAW (max-plies) plies=200 28458ms pv0=d2d4
Game 29/40 — we play white...
  → SF (checkmate) plies=94 29983ms pv0=b1c3
Game 30/40 — we play black...
  → SF (checkmate) plies=89 20117ms pv0=e2e4
Game 31/40 — we play white...
  → OURS (checkmate) plies=83 21492ms pv0=g1f3
Game 32/40 — we play black...
  → SF (checkmate) plies=97 25740ms pv0=d2d4
Game 33/40 — we play white...
  → OURS (checkmate) plies=127 25452ms pv0=b1c3
Game 34/40 — we play black...
  → SF (checkmate) plies=125 25380ms pv0=e2e3
Game 35/40 — we play white...
  → SF (illegal-ours) plies=132 34330ms pv0=b1c3
Game 36/40 — we play black...
  → OURS (checkmate) plies=124 21074ms pv0=e2e4
Game 37/40 — we play white...
  → DRAW (max-plies) plies=200 22931ms pv0=b1c3
Game 38/40 — we play black...
  → SF (checkmate) plies=67 14027ms pv0=g1f3
Game 39/40 — we play white...
  → OURS (checkmate) plies=139 60388ms pv0=b1c3
Game 40/40 — we play black...
  → DRAW (max-plies) plies=200 25084ms pv0=g1f3

=== SUMMARY ===
W-D-L (ours): 12-8-20  (n=40)
score: 0.400  Elo vs SF≈ -70  [95% ~ -193 .. 36]
params: depth=5 sfDepth=8 sfElo=1400 engine=lite-single
term breakdown: checkmate=29 max-plies=8 illegal-ours=3
RESULT oursW=12 sfW=20 D=8 score=0.4000 elo=-70.4 depth=5 sfDepth=8
