=== schach9x9 absolute strength vs Stockfish (8×8) ===
games=40 ourDepth=5 sfDepth=8 sfElo=1400 engine=lite-single maxPlies=200
rules: full standard (castling + EP + auto-queen promo)
Game 1/40 — we play white...
  → OURS (checkmate) plies=81 22880ms pv0=f2f4
Game 2/40 — we play black...
  → DRAW (max-plies) plies=200 37006ms pv0=d2d4
Game 3/40 — we play white...
  → SF (checkmate) plies=150 31166ms pv0=g2g3
Game 4/40 — we play black...
  → SF (illegal-ours) plies=101 21266ms pv0=e2e4
Game 5/40 — we play white...
  → SF (checkmate) plies=170 41944ms pv0=h2h3
Game 6/40 — we play black...
  → OURS (checkmate) plies=142 31979ms pv0=e2e3
Game 7/40 — we play white...
  → SF (checkmate) plies=134 22448ms pv0=g1h3
Game 8/40 — we play black...
  → SF (illegal-ours) plies=39 11837ms pv0=e2e4
Game 9/40 — we play white...
  → SF (illegal-ours) plies=80 52226ms pv0=d2d4
Game 10/40 — we play black...
  → SF (checkmate) plies=59 16288ms pv0=e2e4
Game 11/40 — we play white...
  → SF (checkmate) plies=76 25154ms pv0=d2d4
Game 12/40 — we play black...
  → SF (checkmate) plies=67 18055ms pv0=d2d4
Game 13/40 — we play white...
  → SF (checkmate) plies=106 40784ms pv0=h2h3
Game 14/40 — we play black...
  → DRAW (max-plies) plies=200 31043ms pv0=e2e4
Game 15/40 — we play white...
  → OURS (checkmate) plies=75 19308ms pv0=g2g4
Game 16/40 — we play black...
  → DRAW (max-plies) plies=200 28448ms pv0=d2d4
Game 17/40 — we play white...
  → SF (illegal-ours) plies=66 25186ms pv0=b1a3
Game 18/40 — we play black...
  → DRAW (max-plies) plies=200 34487ms pv0=g1f3
Game 19/40 — we play white...
  → SF (checkmate) plies=40 9977ms pv0=f2f4
Game 20/40 — we play black...
  → SF (checkmate) plies=67 13074ms pv0=e2e4
Game 21/40 — we play white...
  → OURS (checkmate) plies=75 14184ms pv0=h2h3
Game 22/40 — we play black...
  → SF (illegal-ours) plies=83 20965ms pv0=e2e3
Game 23/40 — we play white...
  → SF (checkmate) plies=84 43258ms pv0=g1h3
Game 24/40 — we play black...
  → SF (checkmate) plies=73 16394ms pv0=e2e4
Game 25/40 — we play white...
  → OURS (checkmate) plies=11 4349ms pv0=b1c3
Game 26/40 — we play black...
  → SF (checkmate) plies=175 33128ms pv0=e2e3
Game 27/40 — we play white...
  → DRAW (max-plies) plies=200 26170ms pv0=d2d4
Game 28/40 — we play black...
  → SF (checkmate) plies=57 12652ms pv0=g1f3
Game 29/40 — we play white...
  → DRAW (max-plies) plies=200 34459ms pv0=f2f3
Game 30/40 — we play black...
  → DRAW (max-plies) plies=200 34074ms pv0=d2d4
Game 31/40 — we play white...
  → DRAW (max-plies) plies=200 34917ms pv0=f2f3
Game 32/40 — we play black...
  → SF (checkmate) plies=67 14011ms pv0=e2e3
Game 33/40 — we play white...
  → SF (checkmate) plies=184 20529ms pv0=f2f3
Game 34/40 — we play black...
  → SF (checkmate) plies=55 17631ms pv0=g1f3
Game 35/40 — we play white...
  → OURS (checkmate) plies=85 19232ms pv0=e2e3
Game 36/40 — we play black...
  → SF (checkmate) plies=69 19076ms pv0=e2e4
Game 37/40 — we play white...
  → OURS (checkmate) plies=115 45502ms pv0=f2f3
Game 38/40 — we play black...
  → SF (checkmate) plies=113 20110ms pv0=e2e4
Game 39/40 — we play white...
  → SF (checkmate) plies=134 80469ms pv0=e2e4
Game 40/40 — we play black...
  → SF (illegal-ours) plies=171 23362ms pv0=e2e4

=== SUMMARY ===
W-D-L (ours): 7-8-25  (n=40)
score: 0.275  Elo vs SF≈ -168  [95% ~ -320 .. -61]
params: depth=5 sfDepth=8 sfElo=1400 engine=lite-single
term breakdown: checkmate=26 max-plies=8 illegal-ours=6
RESULT oursW=7 sfW=25 D=8 score=0.2750 elo=-168.4 depth=5 sfDepth=8
