=== schach9x9 absolute strength vs Stockfish (8×8) ===
games=40 ourDepth=5 sfDepth=8 sfElo=1400 engine=lite-single maxPlies=200
rules: full standard (castling + EP + auto-queen promo)
Game 1/40 — we play white...
  → SF (checkmate) plies=134 24741ms pv0=f2f4
Game 2/40 — we play black...
  → SF (checkmate) plies=189 25859ms pv0=e2e3
Game 3/40 — we play white...
  → DRAW (max-plies) plies=200 30874ms pv0=h2h4
Game 4/40 — we play black...
  → DRAW (max-plies) plies=200 32169ms pv0=d2d4
Game 5/40 — we play white...
  → SF (checkmate) plies=132 30381ms pv0=f2f4
Game 6/40 — we play black...
  → SF (checkmate) plies=107 39594ms pv0=e2e3
Game 7/40 — we play white...
  → OURS (checkmate) plies=87 57419ms pv0=f2f3
Game 8/40 — we play black...
  → SF (checkmate) plies=75 33074ms pv0=e2e4
Game 9/40 — we play white...
  → SF (illegal-ours) plies=156 65117ms pv0=f2f3
Game 10/40 — we play black...
  → SF (illegal-ours) plies=39 18688ms pv0=e2e4
Game 11/40 — we play white...
  → SF (illegal-ours) plies=48 31140ms pv0=f2f3
Game 12/40 — we play black...
  → SF (checkmate) plies=187 32562ms pv0=d2d4
Game 13/40 — we play white...
  → SF (checkmate) plies=190 35928ms pv0=d2d4
Game 14/40 — we play black...
  → SF (illegal-ours) plies=147 23741ms pv0=d2d4
Game 15/40 — we play white...
  → OURS (checkmate) plies=97 34310ms pv0=d2d4
Game 16/40 — we play black...
  → SF (checkmate) plies=77 22853ms pv0=d2d4
Game 17/40 — we play white...
  → SF (checkmate) plies=80 20065ms pv0=d2d4
Game 18/40 — we play black...
  → DRAW (max-plies) plies=200 39975ms pv0=g1f3
Game 19/40 — we play white...
  → DRAW (max-plies) plies=200 39341ms pv0=d2d4
Game 20/40 — we play black...
  → SF (illegal-ours) plies=81 22960ms pv0=e2e3
Game 21/40 — we play white...
  → SF (illegal-ours) plies=112 33159ms pv0=g1h3
Game 22/40 — we play black...
  → SF (checkmate) plies=195 30710ms pv0=d2d4
Game 23/40 — we play white...
  → OURS (checkmate) plies=147 28986ms pv0=h2h3
Game 24/40 — we play black...
  → OURS (checkmate) plies=90 27806ms pv0=d2d4
Game 25/40 — we play white...
  → DRAW (max-plies) plies=200 26695ms pv0=g2g3
Game 26/40 — we play black...
  → SF (checkmate) plies=47 10966ms pv0=e2e4
Game 27/40 — we play white...
  → SF (illegal-ours) plies=56 22931ms pv0=g2g4
Game 28/40 — we play black...
  → SF (illegal-ours) plies=99 24034ms pv0=g1f3
Game 29/40 — we play white...
  → OURS (checkmate) plies=77 21860ms pv0=g2g3
Game 30/40 — we play black...
  → SF (checkmate) plies=87 22894ms pv0=d2d4
Game 31/40 — we play white...
  → SF (checkmate) plies=64 20631ms pv0=b1a3
Game 32/40 — we play black...
  → SF (illegal-ours) plies=71 18252ms pv0=e2e3
Game 33/40 — we play white...
  → DRAW (max-plies) plies=200 33110ms pv0=g2g3
Game 34/40 — we play black...
  → OURS (checkmate) plies=192 32220ms pv0=d2d4
Game 35/40 — we play white...
  → SF (checkmate) plies=6 1201ms pv0=h2h3
Game 36/40 — we play black...
  → SF (checkmate) plies=89 19395ms pv0=g1f3
Game 37/40 — we play white...
  → SF (checkmate) plies=74 19631ms pv0=h2h4
Game 38/40 — we play black...
  → DRAW (max-plies) plies=200 28754ms pv0=e2e4
Game 39/40 — we play white...
  → DRAW (max-plies) plies=200 40001ms pv0=b1a3
Game 40/40 — we play black...
  → DRAW (max-plies) plies=200 25214ms pv0=d2d4

=== SUMMARY ===
W-D-L (ours): 6-9-25  (n=40)
score: 0.263  Elo vs SF≈ -179  [95% ~ -336 .. -71]
params: depth=5 sfDepth=8 sfElo=1400 engine=lite-single
term breakdown: checkmate=22 max-plies=9 illegal-ours=9
RESULT oursW=6 sfW=25 D=9 score=0.2625 elo=-179.5 depth=5 sfDepth=8
